2.5167 	INFO 	{'Part_age': u'20', 'Part_sex': u'MALE', 'Part_id': u''}
2.7131 	INFO 	Screen res set as: 1920x1080
2.7140 	INFO 	Loaded calibration from:2015_04_13 10:20
2.7140 	INFO 	['2015_04_13 10:20']
2.7148 	INFO 	configured pyglet screen 0
2.9106 	INFO 	Using gamma table of operating system
3.3151 	INFO 	Mouse: using default window
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
4.7148 	EXP 	TextStim: depth = None
4.7148 	EXP 	TextStim: ori = None
4.7148 	EXP 	TextStim: pos = None
4.7148 	EXP 	TextStim: colorSpace = None
4.7148 	EXP 	TextStim: opacity = None
4.7148 	EXP 	TextStim: contrast = None
4.7148 	EXP 	TextStim: autoLog = None
4.7148 	EXP 	TextStim: units = None
4.7148 	EXP 	TextStim: useShaders = None
